Date,Gold spot price,,,
1978-12,10000,,,
1979-01,10485.35455,,,
1979-02,11330.06191,,,
1979-03,10822.69892,,,
1979-04,11181.14422,,,
1979-05,12655.83031,,,
1979-06,12641.30484,,,
1979-07,13021.76558,,,
1979-08,13884.0104,,,
1979-09,17315.92829,,,
1979-10,16724.157,,,
1979-11,18125.7538,,,
1979-12,22340.74325,,,
1980-01,27568.71358,,,
1980-02,27145.20552,,,
1980-03,22193.13301,,,
1980-04,23528.51125,,,
1980-05,23272.26478,,,
1980-06,27987.28692,,,
1980-07,25983.14502,,,
1980-08,27235.35516,,,
1980-09,28701.98285,,,
1980-10,27761.31126,,,
1980-11,28314.79171,,,
1980-12,27784.67959,,,
1981-01,23946.75333,,,
1981-02,24696.17277,,,
1981-03,25965.49843,,,
1981-04,25048.94099,,,
1981-05,26388.40127,,,
1981-06,24356.40827,,,
1981-07,23922.11739,,,
1981-08,25723.06396,,,
1981-09,24773.9522,,,
1981-10,23944.09096,,,
1981-11,22995.59133,,,
1981-12,22498.3767,,,
1982-01,22101.71393,,,
1982-02,21400.09924,,,
1982-03,19232.34016,,,
1982-04,22048.54295,,,
1982-05,19175.33223,,,
1982-06,19806.77319,,,
1982-07,21852.113,,,
1982-08,26386.60527,,,
1982-09,25697.46545,,,
1982-10,27723.45632,,,
1982-11,29039.25722,,,
1982-12,28612.69135,,,
1983-01,31679.43355,,,
1983-02,26385.79991,,,
1983-03,26926.48631,,,
1983-04,28271.43481,,,
1983-05,28996.5569,,,
1983-06,28418.41811,,,
1983-07,29221.36764,,,
1983-08,29616.87173,,,
1983-09,28975.93747,,,
1983-10,26882.24775,,,
1983-11,29264.52874,,,
1983-12,28266.93655,,,
1984-01,28315.82684,,,
1984-02,28954.65402,,,
1984-03,27517.61117,,,
1984-04,27090.35153,,,
1984-05,28729.17081,,,
1984-06,27888.36037,,,
1984-07,26560.98956,,,
1984-08,27324.85892,,,
1984-09,28248.35055,,,
1984-10,27906.51706,,,
1984-11,26812.0824,,,
1984-12,26120.62551,,,
1985-01,26617.30642,,,
1985-02,25910.45805,,,
1985-03,29717.58122,,,
